"","bb","bba","gbest","gbestgc","lbest","lbestgc","spso","vn","vngc","mean","sd"
"ackley",0.486701181077356,0.560154078201156,0.24537527910405,0.414403460909284,0.407581654105594,0.186025369865723,0.854921497609677,0.623066854881265,0.63709045197612,0.490591091970025,0.206817815672533
"alpine",-0.0157587184855099,-0.192367937775905,-0.0052679180023833,0.499018346156974,0.204919545194923,0.123682507968304,0.742162467345075,0.0583517540886826,-0.280597825305083,0.126015802353897,0.322803259926777
"eggholder",-0.3010315846984,-0.0927566626494907,-0.228687357125993,-0.0027376284052107,0.200379049809407,-0.11913146257499,0.0793181093085844,0.539902264649664,0.592086650213042,0.0741490420585125,0.317163794356147
"elliptic",0.64325593069751,0.550046877071736,0.579839959758958,0.466623214948062,0.0261520986778417,0.4117620483807,0.527505514387613,0.445872936271919,0.709993574364764,0.484561350506567,0.19636432236189
"goldsteinprice",0.618033048156195,-0.0834004113570573,0.624393343029744,0.623523393265529,0.440969115253849,0.402293778137121,0.757616654720757,0.661651440987144,0.502453902512721,0.505281584967334,0.247563935830114
"griewank",0.575364833095349,0.611792180864374,0.764682281141821,0.638055738860652,0.258063943936438,0.26736924357617,0.549758612611466,0.443899937391234,0.467266161135403,0.508472548068101,0.168074445906516
"levy",0.334327289210461,0.58281462814737,0.59082931087233,0.554986942101641,0.771754692687399,0.826981792301025,0.216125697041964,0.772087984235473,0.860789576559412,0.612299768128564,0.222943774035175
"michalewicz",-0.0596740903250968,0.204281532495278,-0.252110837062426,0.263531992804779,0.357572887559882,0.307631838713984,0.305912058374717,-0.175214476609602,0.331073007356644,0.142555990367573,0.23764163882958
"quadric",0.0912750584413662,0.330251148552305,0.467074478151864,0.614880628180008,0.580963654562281,0.505602737406777,0.402709306679245,0.360773308795535,0.425283006450076,0.419868147468829,0.155475503991575
"quartic",0.59923390168267,0.510317850460311,0.698860558187961,0.766705463492428,0.321450966247635,0.748910625115568,0.270721554796349,0.627657960307345,0.592646485646986,0.570722818437473,0.175677433819795
"rastrigin",0.114840416733817,0.154932729123721,0.270052302641874,0.42227908170507,0.317049457595093,0.479006012377295,0.51045433799642,-0.249590001831561,0.0110752253994603,0.225566617971243,0.245831809337335
"rosenbrock",0.467652736318125,0.121368904722001,0.155596453264057,0.370219116767894,0.019570750326148,0.42113723811012,0.422530478049805,-0.124804243089488,0.420514137713744,0.252642841353601,0.21474581704472
"salomon",0.506505765634817,0.437666697457756,0.458380228717411,0.556144475457911,0.349980063332986,0.261115909676726,0.650195328042303,-0.103531912376999,0.153970093115705,0.363380738784291,0.231015817248225
"schwefel1_2",0.406946607470303,0.364482392375402,0.280990616001505,0.615360364680962,0.656386435703163,0.448287059375281,0.455764146554833,0.511718911607771,0.00475466359982762,0.416076799707672,0.193456125606026
"schwefel2_22",0.69974866850524,0.427373303335176,0.590033214545543,0.627604359908946,0.714495514723941,0.601486489899341,0.680662020795711,0.636203538967015,0.599088959081627,0.619632896640282,0.0851993071172848
"schwefel2_26",0.155119525845616,-0.21509076347476,0.53891473081017,0.531744182312673,-0.0548906042013676,-0.16369354265472,0.701683803563742,-0.124271680190719,-0.314173453900672,0.11726024423444,0.38014380611001
"sixhump",-0.28545244123854,-0.170011763300395,-0.0726094928232658,0.098344659227936,0.339555527805796,-0.358437453714031,0.748329132225721,0.192145198342981,-0.058248993468142,0.048179374784229,0.344333452890754
"spherical",0.386394462282092,0.341462378226846,0.581572248386656,0.552649913294938,0.461912246115454,0.357111041375902,0.466161971451066,0.649745283462256,0.560648685207038,0.484184247755805,0.108587554091327
"step",0.408332236565465,0.333445874858969,0.447243124779378,0.252160504013531,0.476139770563263,0.54686002396626,0.655792922419043,0.625924796800725,0.35078785789903,0.455187456873963,0.135755021908064
"zakharov",0.60260519163527,0.655809268946299,0.732297427385757,0.437231014284824,0.232395367531455,0.295526978446605,0.711191174693376,0.34293213248713,0.76572022108841,0.530634308499903,0.205414509374618
"21",0.321721000930205,0.271628615314055,0.37337299758825,0.465136461198441,0.354120106876559,0.327476411787458,0.535475839433373,0.335726099458889,0.366611119332306,0.372363183546615,0.219750457272923
"22",0.307416871461899,0.28994093302671,0.31279472757138,0.192020117646043,0.22283111409954,0.292369328849294,0.207988996838049,0.336589200360443,0.339508927585566,0.188897701315065,0.0764900694048535
