 bb.bba bb.gbest bb.gbestgc bb.lbest bb.lbestgc bb.spso bb.vn bb.vngc bba.gbest bba.gbestgc bba.lbest bba.lbestgc bba.spso bba.vn bba.vngc gbest.gbestgc gbest.lbest gbest.lbestgc gbest.spso gbest.vn gbest.vngc gbestgc.lbest gbestgc.lbestgc gbestgc.spso gbestgc.vn gbestgc.vngc lbest.lbestgc lbest.spso lbest.vn lbest.vngc lbestgc.spso lbestgc.vn lbestgc.vngc spso.vn spso.vngc vn.vngc
ackley 0 0 0 -1 -1 0 -1 -1 -1 -1 -1 -1 0 -1 -1 0 -1 -1 1 0 0 -1 -1 1 -1 0 0 1 1 1 1 1 1 -1 -1 0
alpine -1 1 1 -1 -1 1 -1 -1 1 1 0 0 1 0 0 0 -1 -1 1 -1 -1 -1 -1 1 -1 -1 0 1 0 0 1 0 0 -1 -1 0
eggholder -1 0 1 -1 -1 1 -1 -1 1 1 0 0 1 1 1 0 -1 -1 1 -1 -1 -1 -1 1 -1 -1 0 1 1 1 1 1 1 -1 -1 0
elliptic 0 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 -1 0 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 -1 -1 -1
goldsteinprice -1 -1 -1 0 -1 0 0 -1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 0 0 0 0 -1 0 1 0 0 -1 -1
griewank 0 0 0 -1 -1 0 -1 0 -1 0 -1 -1 0 -1 -1 1 -1 -1 1 0 0 -1 -1 0 -1 -1 0 1 1 1 1 1 1 -1 -1 0
levy 0 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 0 -1 -1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 -1 -1 0
michalewicz -1 0 -1 -1 -1 1 -1 -1 1 1 -1 -1 1 0 0 -1 -1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 1 1 1 1 1 1 -1 -1 0
quadric -1 1 1 -1 -1 1 1 1 1 1 0 0 1 1 1 0 -1 -1 1 -1 -1 -1 -1 1 -1 -1 0 1 1 1 1 1 1 -1 -1 0
quartic 1 0 0 0 -1 1 1 0 -1 -1 -1 -1 1 -1 -1 0 -1 -1 1 1 0 -1 -1 1 1 0 -1 1 1 0 1 1 1 -1 -1 -1
rastrigin -1 1 0 -1 -1 1 -1 -1 1 1 1 1 1 1 1 0 -1 -1 1 -1 -1 -1 -1 1 -1 -1 0 1 0 0 1 0 0 -1 -1 0
rosenbrock 0 0 -1 -1 -1 1 0 -1 0 0 -1 -1 1 0 -1 -1 -1 -1 1 0 -1 -1 -1 1 0 0 1 1 1 1 1 1 1 -1 -1 -1
salomon 1 1 1 0 0 1 1 1 0 0 -1 -1 1 1 1 0 -1 -1 1 0 0 -1 -1 1 0 1 0 1 1 1 1 1 1 -1 -1 0
schwefel1_2 -1 1 1 -1 -1 1 0 0 1 1 0 0 1 1 1 0 -1 -1 1 -1 -1 -1 -1 1 -1 -1 0 1 1 1 1 1 1 -1 -1 0
schwefel2_22 0 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 0 -1 -1 1 -1 -1 1 0 0 -1 -1 0 -1 -1 0 1 1 1 1 1 1 -1 -1 0
schwefel2_26 -1 1 0 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 -1 0 -1 -1 1 -1 -1 -1 -1 1 -1 -1 0 1 1 1 1 1 1 -1 -1 0
sixhump 0 -1 0 -1 0 1 -1 -1 -1 -1 -1 0 1 -1 -1 0 0 0 1 0 -1 0 0 1 0 -1 1 1 0 0 1 0 -1 -1 -1 0
spherical 0 -1 0 -1 -1 0 -1 -1 -1 0 -1 -1 1 -1 -1 0 -1 -1 1 -1 0 -1 -1 1 -1 -1 0 1 1 1 1 1 1 -1 -1 0
step 0 0 0 -1 -1 0 -1 -1 0 0 -1 -1 0 -1 -1 0 -1 -1 0 -1 -1 -1 -1 0 -1 0 0 1 1 1 1 1 1 -1 0 0
zakharov 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 -1 -1 1 0 -1 -1 -1 1 0 0 0 1 1 1 1 1 1 -1 -1 0
