,100.200
bb.ackley,0
bba.ackley,0
gbest.ackley,0
gbestgc.ackley,0
lbest.ackley,-1
lbestgc.ackley,-1
spso.ackley,0
vn.ackley,0
vngc.ackley,-1
bb.alpine,0
bba.alpine,0
gbest.alpine,0
gbestgc.alpine,0
lbest.alpine,-1
lbestgc.alpine,0
spso.alpine,0
vn.alpine,0
vngc.alpine,-1
bb.eggholder,0
bba.eggholder,0
gbest.eggholder,0
gbestgc.eggholder,0
lbest.eggholder,0
lbestgc.eggholder,0
spso.eggholder,0
vn.eggholder,0
vngc.eggholder,0
bb.elliptic,0
bba.elliptic,0
gbest.elliptic,0
gbestgc.elliptic,0
lbest.elliptic,-1
lbestgc.elliptic,0
spso.elliptic,0
vn.elliptic,0
vngc.elliptic,0
bb.goldsteinprice,0
bba.goldsteinprice,0
gbest.goldsteinprice,0
gbestgc.goldsteinprice,0
lbest.goldsteinprice,0
lbestgc.goldsteinprice,0
spso.goldsteinprice,0
vn.goldsteinprice,0
vngc.goldsteinprice,0
bb.griewank,0
bba.griewank,0
gbest.griewank,0
gbestgc.griewank,0
lbest.griewank,0
lbestgc.griewank,-1
spso.griewank,0
vn.griewank,0
vngc.griewank,0
bb.levy,0
bba.levy,0
gbest.levy,-1
gbestgc.levy,0
lbest.levy,-1
lbestgc.levy,-1
spso.levy,0
vn.levy,-1
vngc.levy,-1
bb.michalewicz,0
bba.michalewicz,-1
gbest.michalewicz,0
gbestgc.michalewicz,0
lbest.michalewicz,-1
lbestgc.michalewicz,-1
spso.michalewicz,0
vn.michalewicz,-1
vngc.michalewicz,-1
bb.quadric,-1
bba.quadric,-1
gbest.quadric,-1
gbestgc.quadric,0
lbest.quadric,-1
lbestgc.quadric,-1
spso.quadric,0
vn.quadric,-1
vngc.quadric,-1
bb.quartic,0
bba.quartic,0
gbest.quartic,0
gbestgc.quartic,0
lbest.quartic,-1
lbestgc.quartic,-1
spso.quartic,0
vn.quartic,-1
vngc.quartic,-1
bb.rastrigin,0
bba.rastrigin,-1
gbest.rastrigin,0
gbestgc.rastrigin,0
lbest.rastrigin,-1
lbestgc.rastrigin,-1
spso.rastrigin,0
vn.rastrigin,0
vngc.rastrigin,0
bb.rosenbrock,0
bba.rosenbrock,0
gbest.rosenbrock,0
gbestgc.rosenbrock,0
lbest.rosenbrock,-1
lbestgc.rosenbrock,-1
spso.rosenbrock,0
vn.rosenbrock,0
vngc.rosenbrock,0
bb.salomon,0
bba.salomon,-1
gbest.salomon,0
gbestgc.salomon,0
lbest.salomon,-1
lbestgc.salomon,-1
spso.salomon,0
vn.salomon,-1
vngc.salomon,-1
bb.schwefel1_2,-1
bba.schwefel1_2,-1
gbest.schwefel1_2,-1
gbestgc.schwefel1_2,0
lbest.schwefel1_2,-1
lbestgc.schwefel1_2,-1
spso.schwefel1_2,0
vn.schwefel1_2,-1
vngc.schwefel1_2,-1
bb.schwefel2_22,0
bba.schwefel2_22,0
gbest.schwefel2_22,0
gbestgc.schwefel2_22,0
lbest.schwefel2_22,0
lbestgc.schwefel2_22,0
spso.schwefel2_22,0
vn.schwefel2_22,0
vngc.schwefel2_22,0
bb.schwefel2_26,0
bba.schwefel2_26,0
gbest.schwefel2_26,0
gbestgc.schwefel2_26,0
lbest.schwefel2_26,0
lbestgc.schwefel2_26,0
spso.schwefel2_26,0
vn.schwefel2_26,0
vngc.schwefel2_26,0
bb.sixhump,0
bba.sixhump,0
gbest.sixhump,0
gbestgc.sixhump,0
lbest.sixhump,0
lbestgc.sixhump,0
spso.sixhump,0
vn.sixhump,0
vngc.sixhump,0
bb.spherical,0
bba.spherical,0
gbest.spherical,0
gbestgc.spherical,0
lbest.spherical,-1
lbestgc.spherical,-1
spso.spherical,0
vn.spherical,0
vngc.spherical,0
bb.step,0
bba.step,0
gbest.step,0
gbestgc.step,0
lbest.step,-1
lbestgc.step,-1
spso.step,0
vn.step,0
vngc.step,0
bb.zakharov,-1
bba.zakharov,-1
gbest.zakharov,-1
gbestgc.zakharov,-1
lbest.zakharov,-1
lbestgc.zakharov,-1
spso.zakharov,0
vn.zakharov,-1
vngc.zakharov,-1
