,bb,bba,gbest,gbestgc,lbest,lbestgc,spso,vn,vngc
ackley,0.379310344827586,-0.131034482758621,-0.209195402298851,0.452873563218391,0.452873563218391,0.572413793103448,0.342528735632184,-0.00689655172413793,0.0942528735632184
alpine,0.393103448275862,-0.158620689655172,-0.117241379310345,0.28735632183908,0.448275862068966,0.245977011494253,0.0988505747126437,0.305747126436782,0.51264367816092
eggholder,0.333333333333333,0.245977011494253,0.448275862068966,-0.126436781609195,0.163218390804598,0.337931034482759,0.227586206896552,0.00229885057471264,0.43448275862069
elliptic,0.0436781609195402,0.149425287356322,0.448275862068966,0.0850574712643678,0.195402298850575,0.186206896551724,0.27816091954023,0.186206896551724,0.241379310344828
goldsteinprice,-0.126436781609195,0.489655172413793,0.213793103448276,0.397701149425287,0.567816091954023,0.328735632183908,-0.273563218390805,0.36551724137931,0.535632183908046
griewank,0.526436781609195,0.416091954022989,-0.0160919540229885,0.324137931034483,0.420689655172414,0.0206896551724138,-0.319540229885058,0.186206896551724,0.411494252873563
levy,0.471264367816092,0.0804597701149425,-0.0896551724137931,0.35632183908046,0.255172413793103,0.558620689655173,0.319540229885058,0.508045977011494,-0.498850574712644
michalewicz,0.370114942528736,0.425287356321839,0.44367816091954,0.577011494252874,0.245977011494253,0.508045977011494,0.544827586206897,0.2,-0.268965517241379
quadric,0.351724137931035,0.535632183908046,0.301149425287356,0.411494252873563,-0.28735632183908,0.351724137931035,0.291954022988506,0.379310344827586,0.439080459770115
quartic,-0.0942528735632184,0.167816091954023,0.402298850574713,0.498850574712644,0.0252873563218391,0.609195402298851,0.273563218390805,0.360919540229885,0.324137931034483
rastrigin,-0.0160919540229885,0.131034482758621,0.291954022988506,0.259770114942529,0.190804597701149,0.282758620689655,-0.158620689655172,0.301149425287356,-0.0252873563218391
rosenbrock,0.273563218390805,0.222988505747126,-0.103448275862069,0.0850574712643678,0.245977011494253,0.310344827586207,0.0804597701149425,0.526436781609195,0.236781609195402
salomon,0.236781609195402,0.503448275862069,-0.00229885057471264,0.0850574712643678,0.071264367816092,0.35632183908046,0.333333333333333,0.071264367816092,0.071264367816092
schwefel1_2,0.11264367816092,0.227586206896552,0.204597701149425,0.622988505747126,0.342528735632184,0.186206896551724,0.485057471264368,0.627586206896552,0.471264367816092
schwefel2_22,0.379310344827586,0.324137931034483,0.296551724137931,0.319540229885058,0.36551724137931,0.544827586206897,0.429885057471264,0.452873563218391,0.411494252873563
schwefel2_26,0.664367816091954,0.668965517241379,0.360919540229885,0.489655172413793,0.540229885057471,0.324137931034483,-0.374712643678161,0.227586206896552,0.273563218390805
sixhump,0.503448275862069,0.296551724137931,0.471264367816092,0.0528735632183908,0.360919540229885,0.67816091954023,0.117241379310345,-0.0482758620689655,0.241379310344828
spherical,0.526436781609195,0.310344827586207,0.167816091954023,0.00229885057471264,0.397701149425287,0.310344827586207,0.6,0.406896551724138,-0.420689655172414
step,0.273563218390805,0.531034482758621,0.462068965517241,0.388505747126437,0.567816091954023,0.0252873563218391,0.36551724137931,0.259770114942529,-0.0574712643678161
zakharov,-0.0482758620689655,0.2,0.457471264367816,0.374712643678161,0.195402298850575,0.0666666666666667,0.402298850574713,0.411494252873563,0.489655172413793
