	gbest	lbest	vn	gbestgc	lbestgc	vngc	spso	bb	bba
ackley	-0.1002819393	0.4488490060	0.1228515840	-0.0466161987	0.4446093522	0.0798180484	-0.7305099202	0.4246903918	0.6060200882
alpine	-0.5413117536	-0.5001074085	0.0321025291	-0.5865575319	-0.5216981730	-0.2897660789	-0.7465739843	0.3719924035	0.3629047451
elliptic	-0.8562775371	-0.6942633933	-0.6885289614	-0.8330070965	-0.6526738095	-0.6810577913	-0.6661442524	0.5674945294	0.5614076257
griewank	-0.2461881200	0.3935458867	-0.0282843361	-0.2578152884	0.3760590311	0.0701272163	-0.7314644386	0.3416146817	0.5076605906
levy	-0.6841614501	-0.7721850030	-0.7913614625	-0.6581148003	-0.7542858352	-0.8182019785	-0.8485255483	0.2334702732	0.1860892818
michalewicz	0.1870037642	0.4567413174	0.4871325124	0.0196948095	0.3893861441	0.4696296655	-0.6478630683	0.4103302638	0.2701001306
quadric	-0.0036741560	0.7271459301	0.6765000149	-0.0395649890	0.7011808012	0.7056966247	-0.7275264261	0.5565707007	0.4438795109
quartic	0.2988639368	0.6925733171	0.2919446377	-0.2410418075	0.3147317407	-0.2582091207	-0.5067189145	0.5882835499	0.7381352123
rastrigin	-0.7915063987	-0.6283938526	-0.5591013778	-0.8207213696	-0.5421797604	-0.5392555245	-0.7567746289	-0.2925875333	-0.4281022089
rosenbrock	-0.2393719052	-0.2818128878	-0.2163570731	-0.1154700357	-0.2929348189	-0.3865656911	-0.7188145956	0.1081011078	0.0043775307
salomon	-0.0201392920	0.2783487085	-0.0120161869	0.1026907606	0.2869673000	-0.2421217626	-0.7173472321	0.0969313145	0.2881695189
schwefel1_2	-0.0488430510	0.7059455791	0.6865742667	0.0059082809	0.7621826993	0.7148304183	-0.6700294694	0.5107846426	0.3205308921
schwefel2_22	-0.3822836080	0.3360357519	-0.0260033892	-0.3680017243	0.4447969222	-0.1073955713	-0.7552455933	0.1326670422	0.4707810225
schwefel2_26	-0.3657788658	-0.0249622033	0.0849554613	-0.6107220451	0.0443039252	0.2469319518	-0.4399071332	0.2284138037	0.6356550658
spherical	-0.2656823767	0.3998757367	0.0234952706	-0.2254919849	0.3949918141	-0.1049385382	-0.6101398000	0.4516736040	0.5896493207
step	-0.1699514115	0.3490003697	-0.0318116859	-0.2369034951	0.4135253359	0.1082937175	-0.6006919640	0.3581004835	0.6720516031
weierstrass	-0.3883540825	0.6561744800	0.3021848179	-0.5521412314	0.5054926806	0.0006713705	-0.7715985524	0.3311999095	0.6097628308
zakharov	0.6276352158	0.5328691679	0.6982801652	0.5174366214	0.7323146306	0.7667280825	-0.7351410149	-0.0653752207	-0.3339086182
