,bb,bba,gbest,gbestgc,lbest,lbestgc,spso,vn,vngc
ackley,0.511902113459399,-0.189766407119021,-0.294771968854283,0.648498331479422,0.602224694104561,0.753948832035595,0.474972191323693,0.0126807563959956,0.146162402669633
alpine,0.505228031145717,-0.22714126807564,-0.185761957730812,0.406451612903226,0.619132369299221,0.356618464961068,0.134593993325918,0.41579532814238,0.71301446051168
eggholder,0.500333704115684,0.337486095661847,0.625361512791991,-0.196885428253615,0.226251390433815,0.464738598442714,0.35083426028921,-0.028698553948832,0.613348164627364
elliptic,0.12880978865406,0.233815350389321,0.629810901001112,0.129254727474972,0.28587319243604,0.273414905450501,0.390878754171301,0.25027808676307,0.360177975528365
goldsteinprice,-0.207563959955506,0.676974416017798,0.33392658509455,0.563515016685206,0.763737486095662,0.475417130144605,-0.364627363737486,0.499888765294772,0.687652947719689
griewank,0.714349276974416,0.569744160177976,-0.0220244716351502,0.434037819799778,0.590211345939933,0.0496106785317019,-0.476307007786429,0.328142380422692,0.556395995550612
levy,0.679199110122358,0.103893214682981,-0.119911012235818,0.462068965517241,0.370411568409344,0.753503893214683,0.446496106785317,0.694771968854282,-0.672969966629588
michalewicz,0.54349276974416,0.567964404894327,0.591991101223582,0.763737486095662,0.332591768631813,0.683203559510567,0.734371523915462,0.308120133481646,-0.461179087875417
quadric,0.458064516129032,0.725917686318131,0.421134593993326,0.562180200222469,-0.395328142380423,0.492769744160178,0.383759733036707,0.519021134593993,0.597330367074527
quartic,-0.14349276974416,0.225806451612903,0.567964404894327,0.599555061179088,0.0149054505005562,0.784649610678532,0.41357063403782,0.498109010011124,0.482981090100111
rastrigin,0.00778642936596218,0.199110122358176,0.41357063403782,0.457174638487208,0.231590656284761,0.427808676307008,-0.204894327030033,0.44293659621802,-0.0567296996662959
rosenbrock,0.409566184649611,0.337931034482759,-0.103448275862069,0.145272525027809,0.336596218020022,0.440266963292547,0.0718576195773081,0.72769744160178,0.339710789766407
salomon,0.374416017797553,0.6587319243604,-0.00645161290322581,0.13503893214683,0.0896551724137931,0.494549499443827,0.495884315906563,0.10166852057842,0.0945494994438265
schwefel1_2,0.20622914349277,0.307230255839822,0.33392658509455,0.817575083426029,0.415350389321468,0.280978865406007,0.610678531701891,0.81357063403782,0.648943270300334
schwefel2_22,0.475417130144605,0.490100111234705,0.446051167964405,0.498109010011124,0.514571746384872,0.686763070077864,0.581312569521691,0.602224694104561,0.567964404894327
schwefel2_26,0.844716351501669,0.851835372636263,0.5853170189099,0.657842046718576,0.714349276974416,0.444716351501668,-0.517686318131257,0.322803114571746,0.406451612903226
sixhump,0.66496106785317,0.420689655172414,0.631145717463849,0.064293659621802,0.494549499443827,0.850945494994438,0.165739710789766,-0.0869855394883204,0.304560622914349
spherical,0.714349276974416,0.443381535038932,0.197775305895439,-0.0171301446051168,0.563959955506118,0.423359288097887,0.781535038932147,0.566184649610678,-0.561290322580645
step,0.389543937708565,0.72769744160178,0.646718576195773,0.544827586206897,0.743715239154616,0.0416017797552836,0.443381535038932,0.367296996662959,-0.0860956618464961
zakharov,-0.0780867630700779,0.272525027808676,0.582202447163515,0.54972191323693,0.2587319243604,0.085650723025584,0.583537263626251,0.563515016685206,0.660956618464961
